"date","group","subject","team","stage","round","condition","type","response1","error1","comment","RT"
"2018_9_26_11_33_48","1","1","1","1","17","forced","NULL","1","NULL","actual_number: 7","2.1"
"2018_9_26_11_33_52","1","4","3","2","16","forced","NULL","5","NULL","actual_number: 7","6.72"
"2018_9_26_11_33_54","1","10","1","2","17","forced","NULL","5","NULL","actual_number: 7","2.61"
"2018_9_26_11_34_0","1","3","2","1","16","forced","NULL","1","NULL","actual_number: 7","5.81"
"2018_9_26_11_34_7","1","9","5","1","16","forced","NULL","5","NULL","actual_number: 7","7.15"
"2018_9_26_11_34_10","1","1","1","1","18","forced","NULL","4","NULL","actual_number: 7","4.06"
"2018_9_26_11_34_12","1","5","3","1","17","forced","NULL","2","NULL","actual_number: 7","6.6"
"2018_9_26_11_34_13","1","2","2","2","16","forced","NULL","3","NULL","actual_number: 7","8.62"
"2018_9_26_11_34_22","1","4","3","2","17","forced","NULL","2","NULL","actual_number: 7","2.61"
"2018_9_26_11_34_22","1","7","4","1","16","forced","NULL","6","NULL","actual_number: 7","7.89"
"2018_9_26_11_34_23","1","10","1","2","18","forced","NULL","6","NULL","actual_number: 7","4.43"
"2018_9_26_11_34_24","1","8","5","2","16","forced","NULL","6","NULL","actual_number: 7","4.63"
"2018_9_26_11_34_35","1","3","2","1","17","forced","NULL","5","NULL","actual_number: 7","4.68"
"2018_9_26_11_34_37","1","6","4","2","16","forced","NULL","5","NULL","actual_number: 7","2.6"
"2018_9_26_11_34_42","1","5","3","1","18","forced","NULL","4","NULL","actual_number: 7","5.87"
"2018_9_26_11_34_49","1","2","2","2","17","forced","NULL","4","NULL","actual_number: 7","8.91"
"2018_9_26_11_34_51","1","4","3","2","18","forced","NULL","5","NULL","actual_number: 7","2.58"
"2018_9_26_11_34_54","1","9","5","1","17","forced","NULL","4","NULL","actual_number: 7","6.48"
"2018_9_26_11_34_58","1","7","4","1","17","forced","NULL","5","NULL","actual_number: 7","8.73"
"2018_9_26_11_35_7","1","8","5","2","17","forced","NULL","3","NULL","actual_number: 7","7.08"
"2018_9_26_11_35_9","1","3","2","1","18","forced","NULL","4","NULL","actual_number: 7","6.89"
"2018_9_26_11_35_16","1","6","4","2","17","forced","NULL","5","NULL","actual_number: 7","10.99"
"2018_9_26_11_35_24","1","2","2","2","18","forced","NULL","6","NULL","actual_number: 7","8.17"
"2018_9_26_11_35_28","1","9","5","1","18","forced","NULL","4","NULL","actual_number: 7","4.81"
"2018_9_26_11_35_30","1","1","1","1","19","forced","NULL","1","NULL","actual_number: 7","7.39"
"2018_9_26_11_35_40","1","7","4","1","18","forced","NULL","6","NULL","actual_number: 7","9.68"
"2018_9_26_11_35_40","1","10","1","2","19","forced","NULL","6","NULL","actual_number: 7","2.67"
"2018_9_26_11_35_41","1","8","5","2","18","forced","NULL","4","NULL","actual_number: 7","2.61"
"2018_9_26_11_35_58","1","6","4","2","18","forced","NULL","1","NULL","actual_number: 7","5.67"
"2018_9_26_11_36_18","1","5","3","1","19","forced","NULL","6","NULL","actual_number: 7","8.77"
"2018_9_26_11_36_22","1","3","2","1","19","forced","NULL","6","NULL","actual_number: 7","6.92"
"2018_9_26_11_36_27","1","1","1","1","20","forced","NULL","2","NULL","actual_number: 7","33.57"
"2018_9_26_11_36_29","1","4","3","2","19","forced","NULL","4","NULL","actual_number: 7","6.31"
"2018_9_26_11_36_35","1","10","1","2","20","forced","NULL","5","NULL","actual_number: 7","2.3"
"2018_9_26_11_36_48","1","2","2","2","19","forced","NULL","4","NULL","actual_number: 7","7.42"
"2018_9_26_11_36_50","1","5","3","1","20","forced","NULL","3","NULL","actual_number: 7","6.47"
"2018_9_26_11_36_50","1","1","1","1","21","forced","NULL","2","NULL","actual_number: 7","3.7"
"2018_9_26_11_36_51","1","7","4","1","19","forced","NULL","4","NULL","actual_number: 7","6.68"
"2018_9_26_11_36_59","1","4","3","2","20","forced","NULL","2","NULL","actual_number: 7","3.67"
"2018_9_26_11_37_6","1","10","1","2","21","forced","NULL","4","NULL","actual_number: 7","3.46"
"2018_9_26_11_37_10","1","3","2","1","20","forced","NULL","1","NULL","actual_number: 7","6.5"
"2018_9_26_11_37_17","1","6","4","2","19","forced","NULL","5","NULL","actual_number: 7","2.84"
"2018_9_26_11_37_18","1","9","5","1","19","forced","NULL","1","NULL","actual_number: 7","6.27"
"2018_9_26_11_37_22","1","5","3","1","21","forced","NULL","6","NULL","actual_number: 7","6.19"
"2018_9_26_11_37_28","1","2","2","2","20","forced","NULL","3","NULL","actual_number: 7","10.76"
"2018_9_26_11_37_29","1","4","3","2","21","forced","NULL","2","NULL","actual_number: 7","2.03"
"2018_9_26_11_37_31","1","8","5","2","19","forced","NULL","6","NULL","actual_number: 7","7.42"
"2018_9_26_11_37_41","1","7","4","1","20","forced","NULL","4","NULL","actual_number: 7","6.76"
"2018_9_26_11_37_47","1","3","2","1","21","forced","NULL","4","NULL","actual_number: 7","5.43"
"2018_9_26_11_37_56","1","6","4","2","20","forced","NULL","1","NULL","actual_number: 7","2.92"
