Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT,Order,Block,Rewards,Effort,Double,ParticipantId
11,5,3,1,13,6,3.24,1,2,FirstMover,HighEffort,1,taut_geese
11,4,3,2,13,6,5.48,1,2,FirstMover,HighEffort,1,scary_pony
11,7,4,1,13,5,3.05,1,2,FirstMover,HighEffort,1,happy_lark
11,6,4,2,13,5,8.03,1,2,FirstMover,HighEffort,1,oozy_skink
11,9,5,1,13,4,2.78,1,2,FirstMover,HighEffort,0,wavy_coypu
11,8,5,2,13,5,2.4,1,2,FirstMover,HighEffort,0,loopy_cub
11,11,6,1,13,1,3.17,1,2,FirstMover,HighEffort,0,cute_yapok
11,10,6,2,13,4,9.86,1,2,FirstMover,HighEffort,0,well_orca
11,1,1,1,14,5,3.73,1,2,FirstMover,HighEffort,1,fishy_clam
11,12,1,2,14,5,4.41,1,2,FirstMover,HighEffort,1,regal_asp
11,3,2,1,14,6,2.27,1,2,FirstMover,HighEffort,1,coy_kite
11,2,2,2,14,6,2.16,1,2,FirstMover,HighEffort,1,nerdy_joey
11,5,3,1,14,6,3.09,1,2,FirstMover,HighEffort,1,taut_geese
11,4,3,2,14,6,9.22,1,2,FirstMover,HighEffort,1,scary_pony
11,7,4,1,14,2,2.21,1,2,FirstMover,HighEffort,0,happy_lark
11,6,4,2,14,3,6.61,1,2,FirstMover,HighEffort,0,oozy_skink
11,9,5,1,14,6,2.07,1,2,FirstMover,HighEffort,0,wavy_coypu
11,8,5,2,14,5,6.41,1,2,FirstMover,HighEffort,0,loopy_cub
11,11,6,1,14,1,3.12,1,2,FirstMover,HighEffort,1,cute_yapok
11,10,6,2,14,1,6.42,1,2,FirstMover,HighEffort,1,well_orca
11,1,1,1,15,5,4.35,1,2,FirstMover,HighEffort,1,fishy_clam
11,12,1,2,15,5,7.33,1,2,FirstMover,HighEffort,1,regal_asp
11,3,2,1,15,3,1.63,1,2,FirstMover,HighEffort,0,coy_kite
11,2,2,2,15,4,2.53,1,2,FirstMover,HighEffort,0,nerdy_joey
11,5,3,1,15,6,3.77,1,2,FirstMover,HighEffort,1,taut_geese
11,4,3,2,15,6,2.91,1,2,FirstMover,HighEffort,1,scary_pony
11,7,4,1,15,6,2.37,1,2,FirstMover,HighEffort,0,happy_lark
11,6,4,2,15,3,8.03,1,2,FirstMover,HighEffort,0,oozy_skink
11,9,5,1,15,5,3.61,1,2,FirstMover,HighEffort,1,wavy_coypu
11,8,5,2,15,5,2.36,1,2,FirstMover,HighEffort,1,loopy_cub
11,11,6,1,15,2,4.84,1,2,FirstMover,HighEffort,1,cute_yapok
11,10,6,2,15,2,4.59,1,2,FirstMover,HighEffort,1,well_orca
11,1,1,1,16,6,7.38,1,2,FirstMover,HighEffort,1,fishy_clam
11,12,1,2,16,6,3.47,1,2,FirstMover,HighEffort,1,regal_asp
11,3,2,1,16,6,2.59,1,2,FirstMover,HighEffort,0,coy_kite
11,2,2,2,16,1,2.88,1,2,FirstMover,HighEffort,0,nerdy_joey
11,5,3,1,16,6,3.93,1,2,FirstMover,HighEffort,1,taut_geese
11,4,3,2,16,6,4.59,1,2,FirstMover,HighEffort,1,scary_pony
11,7,4,1,16,4,6.38,1,2,FirstMover,HighEffort,1,happy_lark
11,6,4,2,16,4,3.43,1,2,FirstMover,HighEffort,1,oozy_skink
11,9,5,1,16,2,3.39,1,2,FirstMover,HighEffort,0,wavy_coypu
11,8,5,2,16,6,4.89,1,2,FirstMover,HighEffort,0,loopy_cub
11,11,6,1,16,1,5.19,1,2,FirstMover,HighEffort,0,cute_yapok
11,10,6,2,16,3,12.28,1,2,FirstMover,HighEffort,0,well_orca
11,1,1,1,17,3,4.45,1,2,FirstMover,HighEffort,0,fishy_clam
11,12,1,2,17,2,3.47,1,2,FirstMover,HighEffort,0,regal_asp
