group,subject,date,team,round,RT,Report,stage,ID.number,PlayerNo,Condition,HighEffort,LowEffort,Order,ShortPartnership,LongPartnership,Double,Age,Gender,H.Hexaco,E.Hexaco,X.Hexaco,A.Hexaco,C.Hexaco,O.Hexaco,SoMi,Study,Continent,ReportFirstMover,zcReportFirstMover,Effort,Partnership
17,8,2018_9_26_11_34_24,5,16,4.63,6,2,20543,Second Mover,Collaborative,1,0,Mirror,0,1,0,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,5,0.5083979328165373,High Effort,Long Partnership
17,10,2018_9_26_11_33_54,1,17,2.61,5,2,21661,Second Mover,Collaborative,1,0,Mirror,0,1,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,1,-3.4916020671834627,High Effort,Long Partnership
17,2,2018_9_26_11_34_49,2,17,8.91,4,2,22634,Second Mover,Collaborative,1,0,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,5,0.5083979328165373,High Effort,Long Partnership
17,4,2018_9_26_11_34_22,3,17,2.61,2,2,18991,Second Mover,Collaborative,1,0,Mirror,0,1,1,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,2,-2.4916020671834627,High Effort,Long Partnership
17,6,2018_9_26_11_35_16,4,17,10.99,5,2,22687,Second Mover,Collaborative,1,0,Mirror,0,1,1,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,5,0.5083979328165373,High Effort,Long Partnership
17,8,2018_9_26_11_35_7,5,17,7.08,3,2,20543,Second Mover,Collaborative,1,0,Mirror,0,1,0,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,4,-0.49160206718346267,High Effort,Long Partnership
17,10,2018_9_26_11_34_23,1,18,4.43,6,2,21661,Second Mover,Collaborative,1,0,Mirror,0,1,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,4,-0.49160206718346267,High Effort,Long Partnership
17,2,2018_9_26_11_35_24,2,18,8.17,6,2,22634,Second Mover,Collaborative,1,0,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,4,-0.49160206718346267,High Effort,Long Partnership
17,4,2018_9_26_11_34_51,3,18,2.58,5,2,18991,Second Mover,Collaborative,1,0,Mirror,0,1,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,4,-0.49160206718346267,High Effort,Long Partnership
17,6,2018_9_26_11_35_58,4,18,5.67,1,2,22687,Second Mover,Collaborative,1,0,Mirror,0,1,0,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,6,1.5083979328165373,High Effort,Long Partnership
17,8,2018_9_26_11_35_41,5,18,2.61,4,2,20543,Second Mover,Collaborative,1,0,Mirror,0,1,1,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,4,-0.49160206718346267,High Effort,Long Partnership
17,10,2018_9_26_11_35_40,1,19,2.67,6,2,21661,Second Mover,Collaborative,0,1,Mirror,1,0,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,1,-3.4916020671834627,Low Effort,Short Partnership
17,2,2018_9_26_11_36_48,2,19,7.42,4,2,22634,Second Mover,Collaborative,0,1,Mirror,1,0,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,6,1.5083979328165373,Low Effort,Short Partnership
17,4,2018_9_26_11_36_29,3,19,6.31,4,2,18991,Second Mover,Collaborative,0,1,Mirror,1,0,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,6,1.5083979328165373,Low Effort,Short Partnership
17,6,2018_9_26_11_37_17,4,19,2.84,5,2,22687,Second Mover,Collaborative,0,1,Mirror,1,0,0,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,4,-0.49160206718346267,Low Effort,Short Partnership
17,8,2018_9_26_11_37_31,5,19,7.42,6,2,20543,Second Mover,Collaborative,0,1,Mirror,1,0,0,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,1,-3.4916020671834627,Low Effort,Short Partnership
17,10,2018_9_26_11_36_35,1,20,2.3,5,2,21661,Second Mover,Collaborative,0,1,Mirror,1,0,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,2,-2.4916020671834627,Low Effort,Short Partnership
17,2,2018_9_26_11_37_28,2,20,10.76,3,2,22634,Second Mover,Collaborative,0,1,Mirror,1,0,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,1,-3.4916020671834627,Low Effort,Short Partnership
17,4,2018_9_26_11_36_59,3,20,3.67,2,2,18991,Second Mover,Collaborative,0,1,Mirror,1,0,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,3,-1.4916020671834627,Low Effort,Short Partnership
17,6,2018_9_26_11_37_56,4,20,2.92,1,2,22687,Second Mover,Collaborative,0,1,Mirror,1,0,0,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,4,-0.49160206718346267,Low Effort,Short Partnership
17,8,2018_9_26_11_38_5,5,20,1.1,5,2,20543,Second Mover,Collaborative,0,1,Mirror,1,0,0,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,1,-3.4916020671834627,Low Effort,Short Partnership
17,10,2018_9_26_11_37_6,1,21,3.46,4,2,21661,Second Mover,Collaborative,0,1,Mirror,1,0,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,2,-2.4916020671834627,Low Effort,Short Partnership
17,2,2018_9_26_11_37_58,2,21,4.63,1,2,22634,Second Mover,Collaborative,0,1,Mirror,1,0,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,4,-0.49160206718346267,Low Effort,Short Partnership
17,4,2018_9_26_11_37_29,3,21,2.03,2,2,18991,Second Mover,Collaborative,0,1,Mirror,1,0,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,6,1.5083979328165373,Low Effort,Short Partnership
17,6,2018_9_26_11_38_23,4,21,4.18,1,2,22687,Second Mover,Collaborative,0,1,Mirror,1,0,0,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,6,1.5083979328165373,Low Effort,Short Partnership
17,8,2018_9_26_11_38_53,5,21,8.19,3,2,20543,Second Mover,Collaborative,0,1,Mirror,1,0,0,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,6,1.5083979328165373,Low Effort,Short Partnership
17,8,2018_9_26_11_39_51,1,22,6.37,6,2,20543,Second Mover,Collaborative,0,1,Mirror,1,0,0,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,3,-1.4916020671834627,Low Effort,Short Partnership
17,10,2018_9_26_11_39_56,2,22,4.87,6,2,21661,Second Mover,Collaborative,0,1,Mirror,1,0,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,3,-1.4916020671834627,Low Effort,Short Partnership
17,2,2018_9_26_11_39_56,3,22,8.74,5,2,22634,Second Mover,Collaborative,0,1,Mirror,1,0,1,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,5,0.5083979328165373,Low Effort,Short Partnership
