Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT,Order,Block,Rewards,Effort,Double,ParticipantId
12,7,4,1,1,6,5.57,2,1,FirstMover,HighEffort,0,lush_coypu
12,9,5,1,1,5,9.89,2,1,FirstMover,HighEffort,1,crass_ling
12,11,6,1,1,3,11.11,2,1,FirstMover,HighEffort,1,ghast_ass
12,1,1,1,2,6,5.32,2,1,FirstMover,HighEffort,1,mega_tick
12,3,2,1,2,4,5.4,2,1,FirstMover,HighEffort,1,mad_wren
12,5,3,1,2,3,3.63,2,1,FirstMover,HighEffort,1,acrid_wasp
12,7,4,1,2,6,8.46,2,1,FirstMover,HighEffort,0,lush_coypu
12,9,5,1,2,6,9.35,2,1,FirstMover,HighEffort,0,crass_ling
12,11,6,1,2,5,12.67,2,1,FirstMover,HighEffort,1,ghast_ass
12,1,1,1,3,6,4.06,2,1,FirstMover,HighEffort,1,mega_tick
12,3,2,1,3,6,3.62,2,1,FirstMover,HighEffort,0,mad_wren
12,5,3,1,3,6,3.98,2,1,FirstMover,HighEffort,1,acrid_wasp
12,7,4,1,3,6,2.64,2,1,FirstMover,HighEffort,1,lush_coypu
12,9,5,1,3,6,8.19,2,1,FirstMover,HighEffort,0,crass_ling
