date,group,subject,team,label,response,comment
2018_6_17_12_35_33,2,3,2,roll205,6,actual_number: 9; reaction_time: 3.89
2018_6_17_12_35_36,2,4,1,roll206,6,actual_number: 9; reaction_time: 4.27
2018_6_17_12_35_39,2,1,1,roll213,1,actual_number: 9; reaction_time: 1.76
2018_6_17_12_35_39,2,3,2,roll206,6,actual_number: 9; reaction_time: 4.13
2018_6_17_12_35_42,2,1,1,roll214,2,actual_number: 9; reaction_time: 1.37
2018_6_17_12_35_46,2,4,1,roll207,6,actual_number: 9; reaction_time: 2.78
2018_6_17_12_35_46,2,1,1,roll215,3,actual_number: 9; reaction_time: 1.48
2018_6_17_12_35_50,2,3,2,roll207,6,actual_number: 9; reaction_time: 5.13
2018_6_17_12_35_53,2,4,1,roll208,6,actual_number: 9; reaction_time: 5.39
2018_6_17_12_35_55,2,1,1,roll216,4,actual_number: 9; reaction_time: 3.42
2018_6_17_12_35_59,2,1,1,roll217,5,actual_number: 9; reaction_time: 1.76
2018_6_17_12_36_2,2,4,1,roll209,6,actual_number: 9; reaction_time: 6.04
2018_6_17_12_36_3,2,1,1,roll218,6,actual_number: 9; reaction_time: 2.08
2018_6_17_12_36_18,2,4,1,roll210,6,actual_number: 9; reaction_time: 2.17
2018_6_17_12_36_20,2,2,2,roll201,1,actual_number: 9; reaction_time: 3.48
2018_6_17_12_36_24,2,2,2,roll202,2,actual_number: 9; reaction_time: 2.3
2018_6_17_12_36_26,2,4,1,roll211,4,actual_number: 9; reaction_time: 5.13
2018_6_17_12_36_28,2,2,2,roll203,3,actual_number: 9; reaction_time: 1.85
2018_6_17_12_36_30,2,4,1,roll212,5,actual_number: 9; reaction_time: 2.03
2018_6_17_12_36_35,2,2,2,roll204,4,actual_number: 9; reaction_time: 2.04
2018_6_17_12_36_39,2,2,2,roll205,5,actual_number: 9; reaction_time: 1.88
2018_6_17_12_36_41,2,4,1,roll213,6,actual_number: 9; reaction_time: 2.53
2018_6_17_12_36_43,2,2,2,roll206,6,actual_number: 9; reaction_time: 2.08
2018_6_17_12_36_45,2,4,1,roll214,6,actual_number: 9; reaction_time: 1.81
