Date,Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT
2019_3_4_11_38_15,11,4,3,2,18,5,3.66
2019_3_4_11_39_1,11,1,1,1,19,5,3.45
2019_3_4_11_39_7,11,11,6,1,19,3,2.55
2019_3_4_11_39_9,11,3,2,1,19,4,4.32
2019_3_4_11_39_11,11,9,5,1,19,6,5.11
2019_3_4_11_39_16,11,10,1,2,19,4,6.33
2019_3_4_11_39_16,11,7,4,1,19,5,4.29
2019_3_4_11_39_18,11,8,6,2,19,6,2.46
2019_3_4_11_39_23,11,12,2,2,19,4,2.05
2019_3_4_11_39_25,11,6,5,2,19,5,7.81
2019_3_4_11_39_26,11,5,3,1,19,6,2.5
2019_3_4_11_39_32,11,1,1,1,20,4,3.09
2019_3_4_11_39_34,11,11,6,1,20,6,1.7
2019_3_4_11_39_35,11,2,3,2,19,3,2.58
2019_3_4_11_39_42,11,4,4,2,19,5,7.24
2019_3_4_11_39_44,11,3,2,1,20,6,3.87
2019_3_4_11_39_44,11,9,5,1,20,5,3.62
2019_3_4_11_39_47,11,8,6,2,20,6,4.22
2019_3_4_11_39_51,11,10,1,2,20,4,7.81
2019_3_4_11_39_55,11,6,5,2,20,3,5.07
2019_3_4_11_39_56,11,12,2,2,20,6,2.35
2019_3_4_11_39_57,11,5,3,1,20,6,5.11
2019_3_4_11_40_0,11,7,4,1,20,4,2.77
2019_3_4_11_40_6,11,2,3,2,20,6,2.08
2019_3_4_11_40_7,11,11,6,1,21,6,3.25
2019_3_4_11_40_9,11,1,1,1,21,6,2.51
2019_3_4_11_40_12,11,4,4,2,20,4,4.8
2019_3_4_11_40_13,11,9,5,1,21,3,4.08
2019_3_4_11_40_15,11,3,2,1,21,5,3.73
2019_3_4_11_40_17,11,8,6,2,21,6,2.45
2019_3_4_11_40_23,11,5,3,1,21,6,5.08
2019_3_4_11_40_27,11,10,1,2,21,6,8.34
2019_3_4_11_40_28,11,6,5,2,21,3,6.7
2019_3_4_11_40_30,11,12,2,2,21,3,4.25
2019_3_4_11_40_30,11,2,3,2,21,6,1.36
2019_3_4_11_40_31,11,7,4,1,21,6,6.97
2019_3_4_11_40_56,11,4,4,2,21,6,13.82
2019_3_4_11_41_5,11,11,6,1,22,6,2.51
2019_3_4_11_41_15,11,8,6,2,22,5,1.81
2019_3_4_11_41_16,11,1,1,1,22,4,2.83
2019_3_4_11_41_18,11,3,2,1,22,5,4.28
2019_3_4_11_41_34,11,12,2,2,22,5,5.73
2019_3_4_11_41_34,11,11,6,1,23,6,3.97
2019_3_4_11_41_36,11,10,1,2,22,3,12.68
2019_3_4_11_41_39,11,9,5,1,22,6,18.14
2019_3_4_11_41_41,11,5,3,1,22,6,12.4
